Step,Row_px,Col_px,Elevation_m,Slope_TMC_deg (A*_safety),Slope_LOLA_deg (reference)
0,0,692,-1921.35,78.48,11.49
1,0,694,-1920.05,73.21,10.06
2,0,696,-1920.50,27.33,9.11
3,0,698,-1919.93,67.98,8.64
4,0,700,-1920.85,74.07,10.25
5,0,702,-1923.16,63.59,10.19
6,2,702,-1920.78,61.44,19.06
7,4,702,-1918.71,57.37,25.06
8,6,702,-1915.97,51.00,28.71
9,8,702,-1912.77,49.68,30.24
10,10,702,-1909.90,58.14,30.00
11,12,702,-1907.27,62.91,29.19
12,14,702,-1904.07,61.01,28.14
13,16,702,-1901.09,54.39,28.07
14,18,702,-1898.50,54.27,30.18
15,20,702,-1895.64,47.17,32.79
16,22,702,-1892.32,23.89,32.94
17,24,702,-1889.50,33.18,31.28
18,26,702,-1886.92,38.18,30.71
19,28,702,-1882.89,41.04,30.83
20,30,702,-1879.13,32.62,29.93
21,32,702,-1875.94,37.01,28.25
22,34,702,-1873.45,36.75,28.31
23,36,702,-1870.97,36.74,31.21
24,38,702,-1867.68,45.85,33.68
25,40,702,-1864.29,42.13,33.35
26,42,702,-1861.11,43.28,31.50
27,44,702,-1857.98,51.87,30.69
28,46,702,-1854.58,56.36,30.72
29,48,702,-1851.18,66.18,29.98
30,50,702,-1848.21,71.27,28.91
31,52,702,-1845.66,71.29,29.40
32,54,702,-1842.64,66.13,30.77
33,56,702,-1839.23,60.70,30.11
34,58,702,-1836.53,62.49,27.67
35,60,702,-1834.42,62.76,26.06
36,62,702,-1832.16,45.85,25.94
37,64,702,-1829.89,22.84,26.70
38,66,702,-1827.46,33.40,27.60
39,68,702,-1824.67,42.87,27.56
40,70,702,-1822.13,37.81,26.26
41,72,702,-1820.24,45.99,25.74
42,74,702,-1818.66,48.98,28.68
43,76,702,-1814.77,46.11,32.52
44,78,702,-1811.27,50.55,33.71
45,80,702,-1807.63,51.05,32.69
46,82,702,-1804.17,53.99,30.53
47,84,702,-1801.35,57.91,28.37
48,86,702,-1798.33,57.36,26.54
49,88,702,-1796.03,55.94,24.66
50,90,702,-1793.66,58.12,22.89
51,92,702,-1791.44,58.70,21.66
52,94,702,-1789.72,54.45,21.86
53,96,702,-1788.02,43.27,23.99
54,98,702,-1785.31,11.95,26.76
55,100,702,-1782.58,30.07,28.62
56,102,702,-1779.68,52.80,29.39
57,104,702,-1776.79,63.03,29.42
58,106,702,-1773.92,66.66,29.00
59,108,702,-1771.37,66.76,28.48
60,110,702,-1768.84,60.43,28.07
61,112,702,-1766.46,40.33,28.20
62,114,702,-1763.95,1.22,29.59
63,116,702,-1760.86,34.37,32.09
64,118,702,-1757.55,49.67,35.29
65,120,702,-1753.66,53.38,38.14
66,122,702,-1748.82,51.36,38.35
67,124,702,-1744.33,47.66,34.32
68,126,702,-1740.88,43.54,27.20
69,128,702,-1739.35,43.48,22.52
70,130,702,-1737.53,50.02,23.56
71,132,702,-1735.09,58.45,27.20
72,134,702,-1732.34,62.55,30.70
73,136,702,-1728.94,62.25,33.08
74,138,702,-1724.95,58.30,33.03
75,140,702,-1721.75,46.02,31.23
76,142,702,-1719.48,31.98,30.68
77,144,702,-1716.60,29.76,30.15
78,146,702,-1713.46,32.17,25.62
79,148,702,-1711.82,44.98,19.94
80,150,702,-1711.75,54.09,22.14
81,152,702,-1709.26,59.80,30.27
82,154,702,-1704.67,64.52,35.28
83,156,702,-1700.49,69.25,35.11
84,158,702,-1697.53,73.33,32.34
85,160,702,-1694.60,75.41,29.47
86,162,702,-1691.58,76.42,26.80
87,164,702,-1688.92,76.50,25.66
88,166,702,-1686.37,75.04,27.05
89,168,702,-1683.45,71.61,28.95
90,170,702,-1680.77,65.43,29.87
91,172,702,-1677.83,56.86,30.13
92,174,702,-1674.76,50.56,30.31
93,176,702,-1672.11,49.16,30.61
94,178,702,-1669.28,48.84,30.94
95,180,702,-1666.67,49.07,31.58
96,182,702,-1663.24,55.37,31.73
97,184,702,-1659.97,60.06,30.82
98,186,702,-1656.58,59.62,30.28
99,188,702,-1653.34,58.22,30.97
100,190,702,-1650.11,55.38,31.38
101,192,702,-1646.71,50.88,29.32
102,194,702,-1643.66,46.27,24.26
103,196,702,-1642.48,40.98,19.31
104,198,702,-1641.66,36.14,17.85
105,200,702,-1641.30,36.66,20.36
106,202,702,-1640.24,39.00,27.06
107,204,702,-1635.13,39.87,33.18
108,206,702,-1630.05,41.09,33.47
109,208,702,-1625.84,45.74,29.00
110,210,702,-1624.73,51.83,25.86
111,212,704,-1624.81,48.11,30.29
112,214,704,-1620.82,35.94,30.92
113,216,704,-1617.18,28.54,30.07
114,218,704,-1613.66,25.41,30.48
115,220,704,-1610.31,23.58,32.17
116,222,704,-1607.03,19.57,33.38
117,224,704,-1603.97,24.51,34.16
118,226,704,-1600.77,32.16,34.28
119,228,704,-1597.35,38.70,31.94
120,230,704,-1594.26,45.60,27.87
121,232,704,-1591.78,46.75,26.06
122,234,704,-1589.62,41.72,27.44
123,236,704,-1587.41,35.15,29.93
124,238,704,-1585.37,30.38,32.28
125,240,704,-1582.22,37.44,33.87
126,242,704,-1577.99,33.67,33.84
127,244,704,-1574.17,28.31,31.67
128,246,704,-1571.18,53.10,28.04
129,248,704,-1569.11,47.24,26.74
130,250,704,-1566.45,27.83,29.82
131,252,704,-1562.78,31.15,32.50
132,254,704,-1559.23,30.22,31.92
133,256,704,-1556.06,28.54,29.30
134,258,704,-1553.33,27.66,26.88
135,260,704,-1550.78,30.55,26.09
136,262,704,-1548.23,32.69,26.89
137,264,704,-1545.68,32.47,28.75
138,266,704,-1542.75,35.99,30.46
139,268,704,-1539.52,39.74,30.70
140,270,704,-1536.81,41.52,29.99
141,272,704,-1534.02,40.04,30.00
142,274,704,-1531.59,28.73,31.25
